MMS Id,Linked to NZ,Title,ISBN,ISSN,Linked to CZ
990005411860205516,No,: Design and construction,013465501X; 9780134655017,,No
990005415500205516,No,: mécanismes hydrauliques et mécanismes pneumatiques,,,No
990005415510205516,No,: metal/environment reactions,,,No
990005415540205516,No,: corrosion control,,,No
990005421980205516,No,": fonction d'une variable réelle, fonction de plusieurs variables",2225319553; 9782225319556,,No
990005421990205516,No,": calcul intégral, équations différentielles",2225341001; 9782225341007,,No
990005426140205516,No,: signaux non aléatoires,,,No
990005426210205516,No,: signaux aléatoires,,,No
990005426250205516,No,: théorie de l'information,,,No
990005429620205516,No,,,,No
990005429630205516,No,,,,No
990005430520205516,No,,,,No
990005431030205516,No,,,,No
990005434860205516,No,,085334227X; 9780853342274,,No
990005438330205516,No,atlas métallographique de microstructures-types des aciers moulés,,,No
990005438350205516,No,atlas métallographique de l'A-S13,2711900258; 9782711900251,,No
990005438360205516,No,: systèmes de télé-informatique,2225469156; 9782225469152,,No
990005438370205516,No,atlas macrographique des alliages d'aluminium de fonderie,2711900258; 9782711900251,,No
990005438390205516,No,atlas de micrographie quantitative des A-S7 G,2711900363; 9782711900367,,No
990005438410205516,No,atlas métallographique de l'A-S5 U3,2711900606; 9782711900602,,No
990005439070205516,No,,2704210926; 9782704210923,,No
990005444600205516,No,": le gros-oeuvre à l'usage des dessinateurs et contructeurs en génie civil (B. E. P.) ; des dessinateurs en bâtiment, des maçons et ouvriers en béton armé (C. A. P.)",,,No
990005445610205516,No,": le second oeuvre à l'usage des dessinateurs et constructeurs en génie civil (B. E. P.) ; des dessinateurs en bâtiment, des maçons et ouvriers en béton armé (C. A. P.)",,,No
990005445790205516,No,: gros-oeuvre,,,No
990005445830205516,No,: fondations spéciales canalisations enterrées,,,No
990005457340205516,No,: Tabellen,,,No
990005457360205516,No,: A-Z,,,No
990005457460205516,No,: indexes,,,No
990005458430205516,No,": fonction d'une variable réelle, fonction de plusieurs variables",2225319553; 9782225319556,,No
990005458460205516,No,": séries, intégrale de Laplace, intégrale de Fourier, transformation en z",2225817839; 9782225817830,,No
990005461260205516,No,: a second course in quantum theory,0471637270; 9780471637271,,No
990005463590205516,No,: aide-mémoire et figures,,,No
990005463680205516,No,": généralités, série aliphatique, biomolécules",2225817235; 9782225817236,,No
990005463700205516,No,": série cyclique, biomolécules",2225817243; 9782225817243,,No
990005463810205516,No,": amplification, filtrage, oscillateurs, multiplicateurs",,,No
990005463820205516,No,": asservissement, modulation",,,No
990005469340205516,No,Les applications,2903607613; 9782903607616,,No
990005474960205516,No,,,,No
990005477250205516,No,,,,No
