Electronic Collection Public Name,MMS Id,Title,Portfolio Id,Electronic Collection Id
EZB-FREE-00999 freely available EZB journals,99116791276405516,"Energiestudie ... Reserven, Ressourcen und Verfügbarkeit von Energierohstoffen",5343970440005516,6142815690005516
Springer Engineering eBooks 2016 English/International,99116717641305516,Natural Fibres: Advances in Science and Technology Towards Industrial Applications From Science to Market /,5333094800005516,6128473300005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116782204705516,Rethinking Intercultural Competence : Theoretical Challenges and Practical Issues.,5342457680005516,6128471720005516
American Society Of Civil Engineers ASCE Proceedings,99116704952705516,Structures Congress 2020.,5330379010005516,6128473470005516
Springer Biomedical and Life Sciences eBooks 2016 English/International,99116717786705516,Dental Stem Cells: Regenerative Potential,5333146470005516,6128473380005516
PressReader,99116775060705516,Trek magazine,5338804380005516,6128470010005516
IEEE Electronic Library (IEL) Conference Proceedings,99116701773105516,"Ultra-Wideband, 2007. ICUWB 2007. IEEE International Conference on",5329675940005516,6128472830005516
Wiley Online Library Database Model 2018,99116702204705516,Liver transplantation : official journal of the American association for the study of liver diseases and the international liver transplantation society,5329739430005516,6128470300005516
Wiley Online Book 2011 to Present,99116805790205516,Energy transition /,5346834970005516,6146764050005516
Springer Engineering eBooks 2016 English/International,99116708917105516,Wireless Sensor Networks for Structural Health Monitoring,5331213580005516,6128473300005516
Springer Book Archive - Mathematics,99116719804105516,"Free boundary problems in continuum mechanics : International Conference on Free Boundary Problems in Continuum Mechanics, Novosibirsk, July 15-19, 1991 /",5333571520005516,6128471500005516
Miscellaneous Free eBooks,99116701143205516,The business of plant breeding,5329505180005516,6128471760005516
Elsevier ScienceDirect Books Complete,99116701817405516,Applications of ATILA FEM software to smart materials : case studies in designing devices /,5329672320005516,6128471490005516
ASTM Symposia Papers,99116704539305516,Oil Field Subsurface Injection of Water,5330261340005516,6128470600005516
Springer Computer Science eBooks 2019 English/International,99116715648405516,Cybersecurity in Nigeria A Case Study of Surveillance and Prevention of Digital Crime /,5332662360005516,6128471250005516
IEEE Electronic Library (IEL),99116702884205516,2009 IEEE International Symposium on Industrial Embedded Systems,5329917590005516,6128473920005516
IEEE Electronic Library (IEL),99116702165705516,"9th Computer Graphics and Applications: Proceedings of the Pacific Conference on Computer Graphics and Applications: 2001 Tokyo, Japan",5329762240005516,6128473920005516
EZB-FREE-00999 freely available EZB journals,99116792769405516,Annual report /,5344379870005516,6142815690005516
Wiley Online Library Database Model 2020,99116708519605516,Contemporary accounting research.,5336316780005516,6136319990005516
American Mathematical Society eBooks,99116712776605516,An introduction to infinite ergodic theory /,5332065240005516,6128473930005516
,990053059070205516,Joint head tracking and pose estimation for visual focus of attention recognition,5328270700005516,None
SPIE Digital Library Proceedings,99116706531405516,"Optical transmission systems and equipment for WDM networking III : 25-28 October, 2004, Philadelphia, Pennsylvania, USA",5330689100005516,6128471540005516
SpringerLink Journals - AutoHoldings,99116706107405516,Computational mathematics and modeling.,5330606880005516,6128470180005516
SpringerLink Books Computer Science without Lecture Notes 2013,99116716254005516,"Agile Processes in Software Engineering and Extreme Programming 14th International Conference, XP 2013, Vienna, Austria, June 3-7, 2013, Proceedings /",5332826240005516,6128472230005516
MIT Press Direct to Open Backfile Complete Monographs,99116800515805516,Sensory integration and the unity of consciousness /,5346192720005516,6146113900005516
Springer Mathematics and Statistics eBooks 2020 English/International,99116717584105516,Dynamics with Chaos and Fractals,5333104710005516,6128473670005516
Springer Engineering eBooks 2015 English/International,99116699075605516,Environmental Management The Supply Chain Perspective /,5329092140005516,6128470830005516
